,labels,pc1,pc2
0,1,1.47017124054,-0.104273149058
1,0,-1.44204640982,-0.570141428378
2,1,1.59247769105,-0.0761198700376
3,0,-1.47981167528,-0.528451809649
4,1,1.34486168729,-0.0907190471218
5,0,-5.01432636372,-1.53491711631
6,1,1.07063389167,-0.550226848134
7,1,1.66522876773,0.0179846225883
8,1,1.54231056782,2.32400332556
9,1,1.59425316978,0.0236240421833
10,1,2.05018447847,0.0215288956666
11,1,1.93290540286,0.138756286039
12,1,0.0808519274953,-0.429596070166
13,1,1.71478414157,-0.0479665910171
14,0,-3.76351357551,0.603591091974
15,0,-1.06471238167,-0.217327539718
16,1,1.71857748807,0.038851541716
17,1,1.57733519793,-0.0543207768967
18,0,-2.55649386925,-0.769893689917
19,1,1.36300728314,-0.15422552122
20,0,-2.45904153852,0.566350381277
21,0,-3.01381406128,-0.968696086926
22,1,1.82574144546,0.0888039138775
23,1,1.89882707011,0.0955363395877
24,1,-0.357932914606,-0.604131723625
25,1,1.85277453553,-0.000431029576271
26,1,1.61141353067,-0.0111008304454
27,1,1.93290540286,0.138756286039
28,1,1.92844296041,0.226682287137
29,1,1.97709885381,0.0147964699565
30,1,1.79166311272,0.0455839674262
31,0,-3.23983532422,0.216396829082
32,1,1.6754263574,0.0273848323137
33,1,1.69930710048,0.0612045690395
34,1,1.93290540286,0.138756286039
35,0,-4.32789023969,-0.9476242735
36,1,0.825071212657,-0.616149739124
37,0,-1.87274864585,-1.15478077622
38,0,-1.35356161686,-0.569552231752
39,0,-1.0236343561,-0.236370911
40,0,-3.79731163144,-0.0639671691426
41,0,-1.44923077425,0.210255849732
42,0,-4.27567245417,-0.715678082849
43,1,1.90711007896,0.711727338428
44,0,-2.11899284469,-0.757152692976
45,1,2.04006936025,0.1887086582
46,1,1.34486168729,-0.0907190471218
47,0,-2.3391950088,-0.247848946787
48,0,-0.915460040677,1.48355605922
49,1,0.0138359980416,-0.426374351968
50,0,-1.84648027166,-0.223625062679
51,0,-3.78428390294,2.47451715355
52,0,-2.76713083669,-1.04724293095
53,0,-1.77278814252,-0.687884663518
54,0,-2.59972868328,-0.8352436486
55,0,-0.820425891282,1.28598222271
56,1,-0.623129159851,-0.710777387529
57,1,-0.452262041999,-0.751685252827
58,0,-1.21593419582,-0.380377011994
59,1,1.94804789598,0.116957192898
60,0,-3.29035091332,-0.577455418071
61,1,-0.691153430184,-0.028129589469
62,1,2.04006936025,0.1887086582
63,0,-1.3663393788,4.21120445347
64,1,1.57733519793,-0.0543207768967
65,0,-1.91547570216,-0.423338926576
66,0,-3.77341149686,2.34417148412
67,1,1.78881265106,0.106671101946
68,1,1.3585448407,-0.0662995201213
69,0,-4.53058757034,4.48646396253
70,1,0.60608940864,-0.369870996358
71,0,-3.22829175712,-0.988917125806
72,0,-0.869927955636,0.402954628784
73,1,1.42911455166,-0.0858520268067
74,1,1.66076632529,0.105910623687
75,1,1.24652813879,-0.0597549646234
76,1,1.50045622678,-0.14787133534
77,1,1.78154799451,0.21276372996
78,1,1.12729269725,-0.443939595316
